definition_id,word_id,sense_no,definition,part_of_speech
10,1,0,TempDefinition_10,
20,2,0,TempDefinition_20,
30,3,0,TempDefinition_30,
40,4,0,TempDefinition_40,
50,5,0,TempDefinition_50,
60,6,0,TempDefinition_60,
70,7,0,TempDefinition_70,
80,8,0,TempDefinition_80,
90,9,0,TempDefinition_90,
100,10,0,TempDefinition_100,
110,11,0,TempDefinition_110,
120,12,0,TempDefinition_120,
130,13,0,TempDefinition_130,
140,14,0,TempDefinition_140,
150,15,0,TempDefinition_150,
160,16,0,TempDefinition_160,
170,17,0,TempDefinition_170,
180,18,0,TempDefinition_180,
190,19,0,TempDefinition_190,
200,20,0,TempDefinition_200,
210,21,0,TempDefinition_210,
220,22,0,TempDefinition_220,
230,23,0,TempDefinition_230,
240,24,0,TempDefinition_240,
250,25,0,TempDefinition_250,
260,26,0,TempDefinition_260,
270,27,0,TempDefinition_270,
280,28,0,TempDefinition_280,
290,29,0,TempDefinition_290,
300,30,0,TempDefinition_300,
310,31,0,TempDefinition_310,
320,32,0,TempDefinition_320,
330,33,0,TempDefinition_330,
340,34,0,TempDefinition_340,
350,35,0,TempDefinition_350,
360,36,0,TempDefinition_360,
370,37,0,TempDefinition_370,
380,38,0,TempDefinition_380,
390,39,0,TempDefinition_390,
400,40,0,TempDefinition_400,
410,41,0,TempDefinition_410,
420,42,0,TempDefinition_420,
430,43,0,TempDefinition_430,
440,44,0,TempDefinition_440,
450,45,0,TempDefinition_450,
460,46,0,TempDefinition_460,
470,47,0,TempDefinition_470,
480,48,0,TempDefinition_480,
490,49,0,TempDefinition_490,
500,50,0,TempDefinition_500,
510,51,0,TempDefinition_510,
520,52,0,TempDefinition_520,
530,53,0,TempDefinition_530,
540,54,0,TempDefinition_540,
550,55,0,TempDefinition_550,
560,56,0,TempDefinition_560,
570,57,0,TempDefinition_570,
580,58,0,TempDefinition_580,
590,59,0,TempDefinition_590,
600,60,0,TempDefinition_600,
610,61,0,TempDefinition_610,
620,62,0,TempDefinition_620,
630,63,0,TempDefinition_630,
640,64,0,TempDefinition_640,
650,65,0,TempDefinition_650,
660,66,0,TempDefinition_660,
670,67,0,TempDefinition_670,
680,68,0,TempDefinition_680,
690,69,0,TempDefinition_690,
700,70,0,TempDefinition_700,
710,71,0,TempDefinition_710,
720,72,0,TempDefinition_720,
730,73,0,TempDefinition_730,
740,74,0,TempDefinition_740,
750,75,0,TempDefinition_750,
760,76,0,TempDefinition_760,
770,77,0,TempDefinition_770,
780,78,0,TempDefinition_780,
790,79,0,TempDefinition_790,
800,80,0,TempDefinition_800,
810,81,0,TempDefinition_810,
820,82,0,TempDefinition_820,
830,83,0,TempDefinition_830,
840,84,0,TempDefinition_840,
850,85,0,TempDefinition_850,
860,86,0,TempDefinition_860,
870,87,0,TempDefinition_870,
880,88,0,TempDefinition_880,
890,89,0,TempDefinition_890,
900,90,0,TempDefinition_900,
910,91,0,TempDefinition_910,
920,92,0,TempDefinition_920,
930,93,0,TempDefinition_930,
940,94,0,TempDefinition_940,
950,95,0,TempDefinition_950,
960,96,0,TempDefinition_960,
970,97,0,TempDefinition_970,
980,98,0,TempDefinition_980,
990,99,0,TempDefinition_990,
1000,100,0,TempDefinition_1000,
1010,101,0,TempDefinition_1010,
1020,102,0,TempDefinition_1020,
1030,103,0,TempDefinition_1030,
1040,104,0,TempDefinition_1040,
1050,105,0,TempDefinition_1050,
1060,106,0,TempDefinition_1060,
1070,107,0,TempDefinition_1070,
1080,108,0,TempDefinition_1080,
1090,109,0,TempDefinition_1090,
1100,110,0,TempDefinition_1100,
1110,111,0,TempDefinition_1110,
1120,112,0,TempDefinition_1120,
1130,113,0,TempDefinition_1130,
1140,114,0,TempDefinition_1140,
1150,115,0,TempDefinition_1150,
1160,116,0,TempDefinition_1160,
1170,117,0,TempDefinition_1170,
1180,118,0,TempDefinition_1180,
1190,119,0,TempDefinition_1190,
1200,120,0,TempDefinition_1200,
1210,121,0,TempDefinition_1210,
1220,122,0,TempDefinition_1220,
1230,123,0,TempDefinition_1230,
1240,124,0,TempDefinition_1240,
1250,125,0,TempDefinition_1250,
1260,126,0,TempDefinition_1260,
1270,127,0,TempDefinition_1270,
1280,128,0,TempDefinition_1280,
1290,129,0,TempDefinition_1290,
1300,130,0,TempDefinition_1300,
1310,131,0,TempDefinition_1310,
1320,132,0,TempDefinition_1320,
1330,133,0,TempDefinition_1330,
1340,134,0,TempDefinition_1340,
1350,135,0,TempDefinition_1350,
1360,136,0,TempDefinition_1360,
1370,137,0,TempDefinition_1370,
1380,138,0,TempDefinition_1380,
1390,139,0,TempDefinition_1390,
1400,140,0,TempDefinition_1400,
1410,141,0,TempDefinition_1410,
1420,142,0,TempDefinition_1420,
1430,143,0,TempDefinition_1430,
1440,144,0,TempDefinition_1440,
1450,145,0,TempDefinition_1450,
1460,146,0,TempDefinition_1460,
1470,147,0,TempDefinition_1470,
1480,148,0,TempDefinition_1480,
1490,149,0,TempDefinition_1490,
1500,150,0,TempDefinition_1500,
1510,151,0,TempDefinition_1510,
1520,152,0,TempDefinition_1520,
1530,153,0,TempDefinition_1530,
1540,154,0,TempDefinition_1540,
1550,155,0,TempDefinition_1550,
1560,156,0,TempDefinition_1560,
1570,157,0,TempDefinition_1570,
1580,158,0,TempDefinition_1580,
1590,159,0,TempDefinition_1590,
1600,160,0,TempDefinition_1600,
1610,161,0,TempDefinition_1610,
1620,162,0,TempDefinition_1620,
1630,163,0,TempDefinition_1630,
1640,164,0,TempDefinition_1640,
1650,165,0,TempDefinition_1650,
1660,166,0,TempDefinition_1660,
1670,167,0,TempDefinition_1670,
1680,168,0,TempDefinition_1680,
1690,169,0,TempDefinition_1690,
1700,170,0,TempDefinition_1700,
1710,171,0,TempDefinition_1710,
1720,172,0,TempDefinition_1720,
1730,173,0,TempDefinition_1730,
1740,174,0,TempDefinition_1740,
1750,175,0,TempDefinition_1750,
1760,176,0,TempDefinition_1760,
1770,177,0,TempDefinition_1770,
1780,178,0,TempDefinition_1780,
1790,179,0,TempDefinition_1790,
1800,180,0,TempDefinition_1800,
1810,181,0,TempDefinition_1810,
1820,182,0,TempDefinition_1820,
1830,183,0,TempDefinition_1830,
1840,184,0,TempDefinition_1840,
1850,185,0,TempDefinition_1850,
1860,186,0,TempDefinition_1860,
1870,187,0,TempDefinition_1870,
1880,188,0,TempDefinition_1880,
1890,189,0,TempDefinition_1890,
1900,190,0,TempDefinition_1900,
1910,191,0,TempDefinition_1910,
1920,192,0,TempDefinition_1920,
1930,193,0,TempDefinition_1930,
1940,194,0,TempDefinition_1940,
1950,195,0,TempDefinition_1950,
1960,196,0,TempDefinition_1960,
1970,197,0,TempDefinition_1970,
1980,198,0,TempDefinition_1980,
1990,199,0,TempDefinition_1990,
2000,200,0,TempDefinition_2000,
2010,201,0,TempDefinition_2010,
2020,202,0,TempDefinition_2020,
2030,203,0,TempDefinition_2030,
2040,204,0,TempDefinition_2040,
2050,205,0,TempDefinition_2050,
2060,206,0,TempDefinition_2060,
2070,207,0,TempDefinition_2070,
2080,208,0,TempDefinition_2080,
2090,209,0,TempDefinition_2090,
2100,210,0,TempDefinition_2100,
2110,211,0,TempDefinition_2110,
2120,212,0,TempDefinition_2120,
2130,213,0,TempDefinition_2130,
2140,214,0,TempDefinition_2140,
2150,215,0,TempDefinition_2150,
2160,216,0,TempDefinition_2160,
2170,217,0,TempDefinition_2170,
2180,218,0,TempDefinition_2180,
2190,219,0,TempDefinition_2190,
2200,220,0,TempDefinition_2200,
2210,221,0,TempDefinition_2210,
2220,222,0,TempDefinition_2220,
2230,223,0,TempDefinition_2230,
2240,224,0,TempDefinition_2240,
2250,225,0,TempDefinition_2250,
2260,226,0,TempDefinition_2260,
2270,227,0,TempDefinition_2270,
2280,228,0,TempDefinition_2280,
2290,229,0,TempDefinition_2290,
2300,230,0,TempDefinition_2300,
2310,231,0,TempDefinition_2310,
2320,232,0,TempDefinition_2320,
2330,233,0,TempDefinition_2330,
2340,234,0,TempDefinition_2340,
2350,235,0,TempDefinition_2350,
2360,236,0,TempDefinition_2360,
2370,237,0,TempDefinition_2370,
2380,238,0,TempDefinition_2380,
2390,239,0,TempDefinition_2390,
2400,240,0,TempDefinition_2400,
2410,241,0,TempDefinition_2410,
2420,242,0,TempDefinition_2420,
2430,243,0,TempDefinition_2430,
2440,244,0,TempDefinition_2440,
2450,245,0,TempDefinition_2450,
2460,246,0,TempDefinition_2460,
2470,247,0,TempDefinition_2470,
2480,248,0,TempDefinition_2480,
2490,249,0,TempDefinition_2490,
2500,250,0,TempDefinition_2500,
2510,251,0,TempDefinition_2510,
2520,252,0,TempDefinition_2520,
2530,253,0,TempDefinition_2530,
2540,254,0,TempDefinition_2540,
2550,255,0,TempDefinition_2550,
2560,256,0,TempDefinition_2560,
2570,257,0,TempDefinition_2570,
2580,258,0,TempDefinition_2580,
2590,259,0,TempDefinition_2590,
2600,260,0,TempDefinition_2600,
2610,261,0,TempDefinition_2610,
2620,262,0,TempDefinition_2620,
2630,263,0,TempDefinition_2630,
2640,264,0,TempDefinition_2640,
2650,265,0,TempDefinition_2650,
2660,266,0,TempDefinition_2660,
2670,267,0,TempDefinition_2670,
2680,268,0,TempDefinition_2680,
2690,269,0,TempDefinition_2690,
2700,270,0,TempDefinition_2700,
2710,271,0,TempDefinition_2710,
2720,272,0,TempDefinition_2720,
2730,273,0,TempDefinition_2730,
2740,274,0,TempDefinition_2740,
2750,275,0,TempDefinition_2750,
2760,276,0,TempDefinition_2760,
2770,277,0,TempDefinition_2770,
2780,278,0,TempDefinition_2780,
2790,279,0,TempDefinition_2790,
2800,280,0,TempDefinition_2800,
2810,281,0,TempDefinition_2810,
2820,282,0,TempDefinition_2820,
2830,283,0,TempDefinition_2830,
2840,284,0,TempDefinition_2840,
2850,285,0,TempDefinition_2850,
2860,286,0,TempDefinition_2860,
2870,287,0,TempDefinition_2870,
2880,288,0,TempDefinition_2880,
2890,289,0,TempDefinition_2890,
2900,290,0,TempDefinition_2900,
2910,291,0,TempDefinition_2910,
2920,292,0,TempDefinition_2920,
2930,293,0,TempDefinition_2930,
2940,294,0,TempDefinition_2940,
2950,295,0,TempDefinition_2950,
2960,296,0,TempDefinition_2960,
2970,297,0,TempDefinition_2970,
2980,298,0,TempDefinition_2980,
2990,299,0,TempDefinition_2990,
3000,300,0,TempDefinition_3000,
3010,301,0,TempDefinition_3010,
3020,302,0,TempDefinition_3020,
3030,303,0,TempDefinition_3030,
3040,304,0,TempDefinition_3040,
3050,305,0,TempDefinition_3050,
3060,306,0,TempDefinition_3060,
3070,307,0,TempDefinition_3070,
3080,308,0,TempDefinition_3080,
3090,309,0,TempDefinition_3090,
3100,310,0,TempDefinition_3100,
3110,311,0,TempDefinition_3110,
3120,312,0,TempDefinition_3120,
3130,313,0,TempDefinition_3130,
3140,314,0,TempDefinition_3140,
3150,315,0,TempDefinition_3150,
3160,316,0,TempDefinition_3160,
3170,317,0,TempDefinition_3170,
3180,318,0,TempDefinition_3180,
3190,319,0,TempDefinition_3190,
3200,320,0,TempDefinition_3200,
3210,321,0,TempDefinition_3210,
3220,322,0,TempDefinition_3220,
3230,323,0,TempDefinition_3230,
3240,324,0,TempDefinition_3240,
3250,325,0,TempDefinition_3250,
3260,326,0,TempDefinition_3260,
3270,327,0,TempDefinition_3270,
3280,328,0,TempDefinition_3280,
3290,329,0,TempDefinition_3290,
3300,330,0,TempDefinition_3300,
3310,331,0,TempDefinition_3310,
3320,332,0,TempDefinition_3320,
3330,333,0,TempDefinition_3330,
3340,334,0,TempDefinition_3340,
3350,335,0,TempDefinition_3350,
3360,336,0,TempDefinition_3360,
3370,337,0,TempDefinition_3370,
3380,338,0,TempDefinition_3380,
3390,339,0,TempDefinition_3390,
3400,340,0,TempDefinition_3400,
3410,341,0,TempDefinition_3410,
3420,342,0,TempDefinition_3420,
3430,343,0,TempDefinition_3430,
3440,344,0,TempDefinition_3440,
3450,345,0,TempDefinition_3450,
3460,346,0,TempDefinition_3460,
3470,347,0,TempDefinition_3470,
3480,348,0,TempDefinition_3480,
3490,349,0,TempDefinition_3490,
3500,350,0,TempDefinition_3500,
3510,351,0,TempDefinition_3510,
3520,352,0,TempDefinition_3520,
3530,353,0,TempDefinition_3530,
3540,354,0,TempDefinition_3540,
3550,355,0,TempDefinition_3550,
3560,356,0,TempDefinition_3560,
3570,357,0,TempDefinition_3570,
3580,358,0,TempDefinition_3580,
3590,359,0,TempDefinition_3590,
3600,360,0,TempDefinition_3600,
3610,361,0,TempDefinition_3610,
3620,362,0,TempDefinition_3620,
3630,363,0,TempDefinition_3630,
3640,364,0,TempDefinition_3640,
3650,365,0,TempDefinition_3650,
3660,366,0,TempDefinition_3660,
3670,367,0,TempDefinition_3670,
3680,368,0,TempDefinition_3680,
3690,369,0,TempDefinition_3690,
3700,370,0,TempDefinition_3700,
3710,371,0,TempDefinition_3710,
3720,372,0,TempDefinition_3720,
3730,373,0,TempDefinition_3730,
3740,374,0,TempDefinition_3740,
3750,375,0,TempDefinition_3750,
3760,376,0,TempDefinition_3760,
3770,377,0,TempDefinition_3770,
3780,378,0,TempDefinition_3780,
3790,379,0,TempDefinition_3790,
3800,380,0,TempDefinition_3800,
3810,381,0,TempDefinition_3810,
3820,382,0,TempDefinition_3820,
3830,383,0,TempDefinition_3830,
3840,384,0,TempDefinition_3840,
3850,385,0,TempDefinition_3850,
3860,386,0,TempDefinition_3860,
3870,387,0,TempDefinition_3870,
3880,388,0,TempDefinition_3880,
3890,389,0,TempDefinition_3890,
3900,390,0,TempDefinition_3900,
3910,391,0,TempDefinition_3910,
3920,392,0,TempDefinition_3920,
3930,393,0,TempDefinition_3930,
3940,394,0,TempDefinition_3940,
3950,395,0,TempDefinition_3950,
3960,396,0,TempDefinition_3960,
3970,397,0,TempDefinition_3970,
3980,398,0,TempDefinition_3980,
3990,399,0,TempDefinition_3990,
4000,400,0,TempDefinition_4000,
4010,401,0,TempDefinition_4010,
4020,402,0,TempDefinition_4020,
4030,403,0,TempDefinition_4030,
4040,404,0,TempDefinition_4040,
4050,405,0,TempDefinition_4050,
4060,406,0,TempDefinition_4060,
4070,407,0,TempDefinition_4070,
4080,408,0,TempDefinition_4080,
4090,409,0,TempDefinition_4090,
4100,410,0,TempDefinition_4100,
4110,411,0,TempDefinition_4110,
4120,412,0,TempDefinition_4120,
4130,413,0,TempDefinition_4130,
4140,414,0,TempDefinition_4140,
4150,415,0,TempDefinition_4150,
4160,416,0,TempDefinition_4160,
4170,417,0,TempDefinition_4170,
4180,418,0,TempDefinition_4180,
4190,419,0,TempDefinition_4190,
4200,420,0,TempDefinition_4200,
4210,421,0,TempDefinition_4210,
4220,422,0,TempDefinition_4220,
4230,423,0,TempDefinition_4230,
4240,424,0,TempDefinition_4240,
4250,425,0,TempDefinition_4250,
4260,426,0,TempDefinition_4260,
4270,427,0,TempDefinition_4270,
4280,428,0,TempDefinition_4280,
4290,429,0,TempDefinition_4290,
4300,430,0,TempDefinition_4300,
4310,431,0,TempDefinition_4310,
4320,432,0,TempDefinition_4320,
4330,433,0,TempDefinition_4330,
4340,434,0,TempDefinition_4340,
4350,435,0,TempDefinition_4350,
4360,436,0,TempDefinition_4360,
4370,437,0,TempDefinition_4370,
4380,438,0,TempDefinition_4380,
4390,439,0,TempDefinition_4390,
4400,440,0,TempDefinition_4400,
4410,441,0,TempDefinition_4410,
4420,442,0,TempDefinition_4420,
4430,443,0,TempDefinition_4430,
4440,444,0,TempDefinition_4440,
4450,445,0,TempDefinition_4450,
4460,446,0,TempDefinition_4460,
4470,447,0,TempDefinition_4470,
4480,448,0,TempDefinition_4480,
4490,449,0,TempDefinition_4490,
4500,450,0,TempDefinition_4500,
4510,451,0,TempDefinition_4510,
4520,452,0,TempDefinition_4520,
4530,453,0,TempDefinition_4530,
4540,454,0,TempDefinition_4540,
4550,455,0,TempDefinition_4550,
4560,456,0,TempDefinition_4560,
4570,457,0,TempDefinition_4570,
4580,458,0,TempDefinition_4580,
4590,459,0,TempDefinition_4590,
4600,460,0,TempDefinition_4600,
4610,461,0,TempDefinition_4610,
4620,462,0,TempDefinition_4620,
4630,463,0,TempDefinition_4630,
4640,464,0,TempDefinition_4640,
4650,465,0,TempDefinition_4650,
4660,466,0,TempDefinition_4660,
4670,467,0,TempDefinition_4670,
4680,468,0,TempDefinition_4680,
4690,469,0,TempDefinition_4690,
4700,470,0,TempDefinition_4700,
4710,471,0,TempDefinition_4710,
4720,472,0,TempDefinition_4720,
4730,473,0,TempDefinition_4730,
4740,474,0,TempDefinition_4740,
4750,475,0,TempDefinition_4750,
4760,476,0,TempDefinition_4760,
4770,477,0,TempDefinition_4770,
4780,478,0,TempDefinition_4780,
4790,479,0,TempDefinition_4790,
4800,480,0,TempDefinition_4800,
4810,481,0,TempDefinition_4810,
4820,482,0,TempDefinition_4820,
4830,483,0,TempDefinition_4830,
4840,484,0,TempDefinition_4840,
4850,485,0,TempDefinition_4850,
4860,486,0,TempDefinition_4860,
4870,487,0,TempDefinition_4870,
4880,488,0,TempDefinition_4880,
4890,489,0,TempDefinition_4890,
4900,490,0,TempDefinition_4900,
4910,491,0,TempDefinition_4910,
4920,492,0,TempDefinition_4920,
4930,493,0,TempDefinition_4930,
4940,494,0,TempDefinition_4940,
4950,495,0,TempDefinition_4950,
4960,496,0,TempDefinition_4960,
4970,497,0,TempDefinition_4970,
4980,498,0,TempDefinition_4980,
4990,499,0,TempDefinition_4990,
5000,500,0,TempDefinition_5000,
5010,501,0,TempDefinition_5010,
5020,502,0,TempDefinition_5020,
5030,503,0,TempDefinition_5030,
5040,504,0,TempDefinition_5040,
5050,505,0,TempDefinition_5050,
5060,506,0,TempDefinition_5060,
5070,507,0,TempDefinition_5070,
5080,508,0,TempDefinition_5080,
5090,509,0,TempDefinition_5090,
5100,510,0,TempDefinition_5100,
5110,511,0,TempDefinition_5110,
5120,512,0,TempDefinition_5120,
5130,513,0,TempDefinition_5130,
5140,514,0,TempDefinition_5140,
5150,515,0,TempDefinition_5150,
5160,516,0,TempDefinition_5160,
5170,517,0,TempDefinition_5170,
5180,518,0,TempDefinition_5180,
5190,519,0,TempDefinition_5190,
5200,520,0,TempDefinition_5200,
5210,521,0,TempDefinition_5210,
5220,522,0,TempDefinition_5220,
5230,523,0,TempDefinition_5230,
5240,524,0,TempDefinition_5240,
5250,525,0,TempDefinition_5250,
5260,526,0,TempDefinition_5260,
5270,527,0,TempDefinition_5270,
5280,528,0,TempDefinition_5280,
5290,529,0,TempDefinition_5290,
5300,530,0,TempDefinition_5300,
5310,531,0,TempDefinition_5310,
5320,532,0,TempDefinition_5320,
5330,533,0,TempDefinition_5330,
5340,534,0,TempDefinition_5340,
5350,535,0,TempDefinition_5350,
5360,536,0,TempDefinition_5360,
5370,537,0,TempDefinition_5370,
5380,538,0,TempDefinition_5380,
5390,539,0,TempDefinition_5390,
5400,540,0,TempDefinition_5400,
5410,541,0,TempDefinition_5410,
5420,542,0,TempDefinition_5420,
5430,543,0,TempDefinition_5430,
5440,544,0,TempDefinition_5440,
5450,545,0,TempDefinition_5450,
5460,546,0,TempDefinition_5460,
5470,547,0,TempDefinition_5470,
5480,548,0,TempDefinition_5480,
5490,549,0,TempDefinition_5490,
5500,550,0,TempDefinition_5500,
5510,551,0,TempDefinition_5510,
5520,552,0,TempDefinition_5520,
5530,553,0,TempDefinition_5530,
5540,554,0,TempDefinition_5540,
5550,555,0,TempDefinition_5550,
5560,556,0,TempDefinition_5560,
5570,557,0,TempDefinition_5570,
5580,558,0,TempDefinition_5580,
5590,559,0,TempDefinition_5590,
5600,560,0,TempDefinition_5600,
5610,561,0,TempDefinition_5610,
5620,562,0,TempDefinition_5620,
5630,563,0,TempDefinition_5630,
5640,564,0,TempDefinition_5640,
5650,565,0,TempDefinition_5650,
5660,566,0,TempDefinition_5660,
5670,567,0,TempDefinition_5670,
5680,568,0,TempDefinition_5680,
5690,569,0,TempDefinition_5690,
5700,570,0,TempDefinition_5700,
5710,571,0,TempDefinition_5710,
5720,572,0,TempDefinition_5720,
5730,573,0,TempDefinition_5730,
5740,574,0,TempDefinition_5740,
5750,575,0,TempDefinition_5750,
5760,576,0,TempDefinition_5760,
5770,577,0,TempDefinition_5770,
5780,578,0,TempDefinition_5780,
5790,579,0,TempDefinition_5790,
5800,580,0,TempDefinition_5800,
5810,581,0,TempDefinition_5810,
5820,582,0,TempDefinition_5820,
5830,583,0,TempDefinition_5830,
5840,584,0,TempDefinition_5840,
5850,585,0,TempDefinition_5850,
5860,586,0,TempDefinition_5860,
5870,587,0,TempDefinition_5870,
5880,588,0,TempDefinition_5880,
5890,589,0,TempDefinition_5890,
5900,590,0,TempDefinition_5900,
5910,591,0,TempDefinition_5910,
5920,592,0,TempDefinition_5920,
5930,593,0,TempDefinition_5930,
5940,594,0,TempDefinition_5940,
5950,595,0,TempDefinition_5950,
5960,596,0,TempDefinition_5960,
5970,597,0,TempDefinition_5970,
5980,598,0,TempDefinition_5980,
5990,599,0,TempDefinition_5990,
6000,600,0,TempDefinition_6000,
