example_id,definition_id,example_no,example_sentence
100,10,0,TempExample_100
200,20,0,TempExample_200
300,30,0,TempExample_300
400,40,0,TempExample_400
500,50,0,TempExample_500
600,60,0,TempExample_600
700,70,0,TempExample_700
800,80,0,TempExample_800
900,90,0,TempExample_900
1000,100,0,TempExample_1000
1100,110,0,TempExample_1100
1200,120,0,TempExample_1200
1300,130,0,TempExample_1300
1400,140,0,TempExample_1400
1500,150,0,TempExample_1500
1600,160,0,TempExample_1600
1700,170,0,TempExample_1700
1800,180,0,TempExample_1800
1900,190,0,TempExample_1900
2000,200,0,TempExample_2000
2100,210,0,TempExample_2100
2200,220,0,TempExample_2200
2300,230,0,TempExample_2300
2400,240,0,TempExample_2400
2500,250,0,TempExample_2500
2600,260,0,TempExample_2600
2700,270,0,TempExample_2700
2800,280,0,TempExample_2800
2900,290,0,TempExample_2900
3000,300,0,TempExample_3000
3100,310,0,TempExample_3100
3200,320,0,TempExample_3200
3300,330,0,TempExample_3300
3400,340,0,TempExample_3400
3500,350,0,TempExample_3500
3600,360,0,TempExample_3600
3700,370,0,TempExample_3700
3800,380,0,TempExample_3800
3900,390,0,TempExample_3900
4000,400,0,TempExample_4000
4100,410,0,TempExample_4100
4200,420,0,TempExample_4200
4300,430,0,TempExample_4300
4400,440,0,TempExample_4400
4500,450,0,TempExample_4500
4600,460,0,TempExample_4600
4700,470,0,TempExample_4700
4800,480,0,TempExample_4800
4900,490,0,TempExample_4900
5000,500,0,TempExample_5000
5100,510,0,TempExample_5100
5200,520,0,TempExample_5200
5300,530,0,TempExample_5300
5400,540,0,TempExample_5400
5500,550,0,TempExample_5500
5600,560,0,TempExample_5600
5700,570,0,TempExample_5700
5800,580,0,TempExample_5800
5900,590,0,TempExample_5900
6000,600,0,TempExample_6000
6100,610,0,TempExample_6100
6200,620,0,TempExample_6200
6300,630,0,TempExample_6300
6400,640,0,TempExample_6400
6500,650,0,TempExample_6500
6600,660,0,TempExample_6600
6700,670,0,TempExample_6700
6800,680,0,TempExample_6800
6900,690,0,TempExample_6900
7000,700,0,TempExample_7000
7100,710,0,TempExample_7100
7200,720,0,TempExample_7200
7300,730,0,TempExample_7300
7400,740,0,TempExample_7400
7500,750,0,TempExample_7500
7600,760,0,TempExample_7600
7700,770,0,TempExample_7700
7800,780,0,TempExample_7800
7900,790,0,TempExample_7900
8000,800,0,TempExample_8000
8100,810,0,TempExample_8100
8200,820,0,TempExample_8200
8300,830,0,TempExample_8300
8400,840,0,TempExample_8400
8500,850,0,TempExample_8500
8600,860,0,TempExample_8600
8700,870,0,TempExample_8700
8800,880,0,TempExample_8800
8900,890,0,TempExample_8900
9000,900,0,TempExample_9000
9100,910,0,TempExample_9100
9200,920,0,TempExample_9200
9300,930,0,TempExample_9300
9400,940,0,TempExample_9400
9500,950,0,TempExample_9500
9600,960,0,TempExample_9600
9700,970,0,TempExample_9700
9800,980,0,TempExample_9800
9900,990,0,TempExample_9900
10000,1000,0,TempExample_10000
10100,1010,0,TempExample_10100
10200,1020,0,TempExample_10200
10300,1030,0,TempExample_10300
10400,1040,0,TempExample_10400
10500,1050,0,TempExample_10500
10600,1060,0,TempExample_10600
10700,1070,0,TempExample_10700
10800,1080,0,TempExample_10800
10900,1090,0,TempExample_10900
11000,1100,0,TempExample_11000
11100,1110,0,TempExample_11100
11200,1120,0,TempExample_11200
11300,1130,0,TempExample_11300
11400,1140,0,TempExample_11400
11500,1150,0,TempExample_11500
11600,1160,0,TempExample_11600
11700,1170,0,TempExample_11700
11800,1180,0,TempExample_11800
11900,1190,0,TempExample_11900
12000,1200,0,TempExample_12000
12100,1210,0,TempExample_12100
12200,1220,0,TempExample_12200
12300,1230,0,TempExample_12300
12400,1240,0,TempExample_12400
12500,1250,0,TempExample_12500
12600,1260,0,TempExample_12600
12700,1270,0,TempExample_12700
12800,1280,0,TempExample_12800
12900,1290,0,TempExample_12900
13000,1300,0,TempExample_13000
13100,1310,0,TempExample_13100
13200,1320,0,TempExample_13200
13300,1330,0,TempExample_13300
13400,1340,0,TempExample_13400
13500,1350,0,TempExample_13500
13600,1360,0,TempExample_13600
13700,1370,0,TempExample_13700
13800,1380,0,TempExample_13800
13900,1390,0,TempExample_13900
14000,1400,0,TempExample_14000
14100,1410,0,TempExample_14100
14200,1420,0,TempExample_14200
14300,1430,0,TempExample_14300
14400,1440,0,TempExample_14400
14500,1450,0,TempExample_14500
14600,1460,0,TempExample_14600
14700,1470,0,TempExample_14700
14800,1480,0,TempExample_14800
14900,1490,0,TempExample_14900
15000,1500,0,TempExample_15000
15100,1510,0,TempExample_15100
15200,1520,0,TempExample_15200
15300,1530,0,TempExample_15300
15400,1540,0,TempExample_15400
15500,1550,0,TempExample_15500
15600,1560,0,TempExample_15600
15700,1570,0,TempExample_15700
15800,1580,0,TempExample_15800
15900,1590,0,TempExample_15900
16000,1600,0,TempExample_16000
16100,1610,0,TempExample_16100
16200,1620,0,TempExample_16200
16300,1630,0,TempExample_16300
16400,1640,0,TempExample_16400
16500,1650,0,TempExample_16500
16600,1660,0,TempExample_16600
16700,1670,0,TempExample_16700
16800,1680,0,TempExample_16800
16900,1690,0,TempExample_16900
17000,1700,0,TempExample_17000
17100,1710,0,TempExample_17100
17200,1720,0,TempExample_17200
17300,1730,0,TempExample_17300
17400,1740,0,TempExample_17400
17500,1750,0,TempExample_17500
17600,1760,0,TempExample_17600
17700,1770,0,TempExample_17700
17800,1780,0,TempExample_17800
17900,1790,0,TempExample_17900
18000,1800,0,TempExample_18000
18100,1810,0,TempExample_18100
18200,1820,0,TempExample_18200
18300,1830,0,TempExample_18300
18400,1840,0,TempExample_18400
18500,1850,0,TempExample_18500
18600,1860,0,TempExample_18600
18700,1870,0,TempExample_18700
18800,1880,0,TempExample_18800
18900,1890,0,TempExample_18900
19000,1900,0,TempExample_19000
19100,1910,0,TempExample_19100
19200,1920,0,TempExample_19200
19300,1930,0,TempExample_19300
19400,1940,0,TempExample_19400
19500,1950,0,TempExample_19500
19600,1960,0,TempExample_19600
19700,1970,0,TempExample_19700
19800,1980,0,TempExample_19800
19900,1990,0,TempExample_19900
20000,2000,0,TempExample_20000
20100,2010,0,TempExample_20100
20200,2020,0,TempExample_20200
20300,2030,0,TempExample_20300
20400,2040,0,TempExample_20400
20500,2050,0,TempExample_20500
20600,2060,0,TempExample_20600
20700,2070,0,TempExample_20700
20800,2080,0,TempExample_20800
20900,2090,0,TempExample_20900
21000,2100,0,TempExample_21000
21100,2110,0,TempExample_21100
21200,2120,0,TempExample_21200
21300,2130,0,TempExample_21300
21400,2140,0,TempExample_21400
21500,2150,0,TempExample_21500
21600,2160,0,TempExample_21600
21700,2170,0,TempExample_21700
21800,2180,0,TempExample_21800
21900,2190,0,TempExample_21900
22000,2200,0,TempExample_22000
22100,2210,0,TempExample_22100
22200,2220,0,TempExample_22200
22300,2230,0,TempExample_22300
22400,2240,0,TempExample_22400
22500,2250,0,TempExample_22500
22600,2260,0,TempExample_22600
22700,2270,0,TempExample_22700
22800,2280,0,TempExample_22800
22900,2290,0,TempExample_22900
23000,2300,0,TempExample_23000
23100,2310,0,TempExample_23100
23200,2320,0,TempExample_23200
23300,2330,0,TempExample_23300
23400,2340,0,TempExample_23400
23500,2350,0,TempExample_23500
23600,2360,0,TempExample_23600
23700,2370,0,TempExample_23700
23800,2380,0,TempExample_23800
23900,2390,0,TempExample_23900
24000,2400,0,TempExample_24000
24100,2410,0,TempExample_24100
24200,2420,0,TempExample_24200
24300,2430,0,TempExample_24300
24400,2440,0,TempExample_24400
24500,2450,0,TempExample_24500
24600,2460,0,TempExample_24600
24700,2470,0,TempExample_24700
24800,2480,0,TempExample_24800
24900,2490,0,TempExample_24900
25000,2500,0,TempExample_25000
25100,2510,0,TempExample_25100
25200,2520,0,TempExample_25200
25300,2530,0,TempExample_25300
25400,2540,0,TempExample_25400
25500,2550,0,TempExample_25500
25600,2560,0,TempExample_25600
25700,2570,0,TempExample_25700
25800,2580,0,TempExample_25800
25900,2590,0,TempExample_25900
26000,2600,0,TempExample_26000
26100,2610,0,TempExample_26100
26200,2620,0,TempExample_26200
26300,2630,0,TempExample_26300
26400,2640,0,TempExample_26400
26500,2650,0,TempExample_26500
26600,2660,0,TempExample_26600
26700,2670,0,TempExample_26700
26800,2680,0,TempExample_26800
26900,2690,0,TempExample_26900
27000,2700,0,TempExample_27000
27100,2710,0,TempExample_27100
27200,2720,0,TempExample_27200
27300,2730,0,TempExample_27300
27400,2740,0,TempExample_27400
27500,2750,0,TempExample_27500
27600,2760,0,TempExample_27600
27700,2770,0,TempExample_27700
27800,2780,0,TempExample_27800
27900,2790,0,TempExample_27900
28000,2800,0,TempExample_28000
28100,2810,0,TempExample_28100
28200,2820,0,TempExample_28200
28300,2830,0,TempExample_28300
28400,2840,0,TempExample_28400
28500,2850,0,TempExample_28500
28600,2860,0,TempExample_28600
28700,2870,0,TempExample_28700
28800,2880,0,TempExample_28800
28900,2890,0,TempExample_28900
29000,2900,0,TempExample_29000
29100,2910,0,TempExample_29100
29200,2920,0,TempExample_29200
29300,2930,0,TempExample_29300
29400,2940,0,TempExample_29400
29500,2950,0,TempExample_29500
29600,2960,0,TempExample_29600
29700,2970,0,TempExample_29700
29800,2980,0,TempExample_29800
29900,2990,0,TempExample_29900
30000,3000,0,TempExample_30000
30100,3010,0,TempExample_30100
30200,3020,0,TempExample_30200
30300,3030,0,TempExample_30300
30400,3040,0,TempExample_30400
30500,3050,0,TempExample_30500
30600,3060,0,TempExample_30600
30700,3070,0,TempExample_30700
30800,3080,0,TempExample_30800
30900,3090,0,TempExample_30900
31000,3100,0,TempExample_31000
31100,3110,0,TempExample_31100
31200,3120,0,TempExample_31200
31300,3130,0,TempExample_31300
31400,3140,0,TempExample_31400
31500,3150,0,TempExample_31500
31600,3160,0,TempExample_31600
31700,3170,0,TempExample_31700
31800,3180,0,TempExample_31800
31900,3190,0,TempExample_31900
32000,3200,0,TempExample_32000
32100,3210,0,TempExample_32100
32200,3220,0,TempExample_32200
32300,3230,0,TempExample_32300
32400,3240,0,TempExample_32400
32500,3250,0,TempExample_32500
32600,3260,0,TempExample_32600
32700,3270,0,TempExample_32700
32800,3280,0,TempExample_32800
32900,3290,0,TempExample_32900
33000,3300,0,TempExample_33000
33100,3310,0,TempExample_33100
33200,3320,0,TempExample_33200
33300,3330,0,TempExample_33300
33400,3340,0,TempExample_33400
33500,3350,0,TempExample_33500
33600,3360,0,TempExample_33600
33700,3370,0,TempExample_33700
33800,3380,0,TempExample_33800
33900,3390,0,TempExample_33900
34000,3400,0,TempExample_34000
34100,3410,0,TempExample_34100
34200,3420,0,TempExample_34200
34300,3430,0,TempExample_34300
34400,3440,0,TempExample_34400
34500,3450,0,TempExample_34500
34600,3460,0,TempExample_34600
34700,3470,0,TempExample_34700
34800,3480,0,TempExample_34800
34900,3490,0,TempExample_34900
35000,3500,0,TempExample_35000
35100,3510,0,TempExample_35100
35200,3520,0,TempExample_35200
35300,3530,0,TempExample_35300
35400,3540,0,TempExample_35400
35500,3550,0,TempExample_35500
35600,3560,0,TempExample_35600
35700,3570,0,TempExample_35700
35800,3580,0,TempExample_35800
35900,3590,0,TempExample_35900
36000,3600,0,TempExample_36000
36100,3610,0,TempExample_36100
36200,3620,0,TempExample_36200
36300,3630,0,TempExample_36300
36400,3640,0,TempExample_36400
36500,3650,0,TempExample_36500
36600,3660,0,TempExample_36600
36700,3670,0,TempExample_36700
36800,3680,0,TempExample_36800
36900,3690,0,TempExample_36900
37000,3700,0,TempExample_37000
37100,3710,0,TempExample_37100
37200,3720,0,TempExample_37200
37300,3730,0,TempExample_37300
37400,3740,0,TempExample_37400
37500,3750,0,TempExample_37500
37600,3760,0,TempExample_37600
37700,3770,0,TempExample_37700
37800,3780,0,TempExample_37800
37900,3790,0,TempExample_37900
38000,3800,0,TempExample_38000
38100,3810,0,TempExample_38100
38200,3820,0,TempExample_38200
38300,3830,0,TempExample_38300
38400,3840,0,TempExample_38400
38500,3850,0,TempExample_38500
38600,3860,0,TempExample_38600
38700,3870,0,TempExample_38700
38800,3880,0,TempExample_38800
38900,3890,0,TempExample_38900
39000,3900,0,TempExample_39000
39100,3910,0,TempExample_39100
39200,3920,0,TempExample_39200
39300,3930,0,TempExample_39300
39400,3940,0,TempExample_39400
39500,3950,0,TempExample_39500
39600,3960,0,TempExample_39600
39700,3970,0,TempExample_39700
39800,3980,0,TempExample_39800
39900,3990,0,TempExample_39900
40000,4000,0,TempExample_40000
40100,4010,0,TempExample_40100
40200,4020,0,TempExample_40200
40300,4030,0,TempExample_40300
40400,4040,0,TempExample_40400
40500,4050,0,TempExample_40500
40600,4060,0,TempExample_40600
40700,4070,0,TempExample_40700
40800,4080,0,TempExample_40800
40900,4090,0,TempExample_40900
41000,4100,0,TempExample_41000
41100,4110,0,TempExample_41100
41200,4120,0,TempExample_41200
41300,4130,0,TempExample_41300
41400,4140,0,TempExample_41400
41500,4150,0,TempExample_41500
41600,4160,0,TempExample_41600
41700,4170,0,TempExample_41700
41800,4180,0,TempExample_41800
41900,4190,0,TempExample_41900
42000,4200,0,TempExample_42000
42100,4210,0,TempExample_42100
42200,4220,0,TempExample_42200
42300,4230,0,TempExample_42300
42400,4240,0,TempExample_42400
42500,4250,0,TempExample_42500
42600,4260,0,TempExample_42600
42700,4270,0,TempExample_42700
42800,4280,0,TempExample_42800
42900,4290,0,TempExample_42900
43000,4300,0,TempExample_43000
43100,4310,0,TempExample_43100
43200,4320,0,TempExample_43200
43300,4330,0,TempExample_43300
43400,4340,0,TempExample_43400
43500,4350,0,TempExample_43500
43600,4360,0,TempExample_43600
43700,4370,0,TempExample_43700
43800,4380,0,TempExample_43800
43900,4390,0,TempExample_43900
44000,4400,0,TempExample_44000
44100,4410,0,TempExample_44100
44200,4420,0,TempExample_44200
44300,4430,0,TempExample_44300
44400,4440,0,TempExample_44400
44500,4450,0,TempExample_44500
44600,4460,0,TempExample_44600
44700,4470,0,TempExample_44700
44800,4480,0,TempExample_44800
44900,4490,0,TempExample_44900
45000,4500,0,TempExample_45000
45100,4510,0,TempExample_45100
45200,4520,0,TempExample_45200
45300,4530,0,TempExample_45300
45400,4540,0,TempExample_45400
45500,4550,0,TempExample_45500
45600,4560,0,TempExample_45600
45700,4570,0,TempExample_45700
45800,4580,0,TempExample_45800
45900,4590,0,TempExample_45900
46000,4600,0,TempExample_46000
46100,4610,0,TempExample_46100
46200,4620,0,TempExample_46200
46300,4630,0,TempExample_46300
46400,4640,0,TempExample_46400
46500,4650,0,TempExample_46500
46600,4660,0,TempExample_46600
46700,4670,0,TempExample_46700
46800,4680,0,TempExample_46800
46900,4690,0,TempExample_46900
47000,4700,0,TempExample_47000
47100,4710,0,TempExample_47100
47200,4720,0,TempExample_47200
47300,4730,0,TempExample_47300
47400,4740,0,TempExample_47400
47500,4750,0,TempExample_47500
47600,4760,0,TempExample_47600
47700,4770,0,TempExample_47700
47800,4780,0,TempExample_47800
47900,4790,0,TempExample_47900
48000,4800,0,TempExample_48000
48100,4810,0,TempExample_48100
48200,4820,0,TempExample_48200
48300,4830,0,TempExample_48300
48400,4840,0,TempExample_48400
48500,4850,0,TempExample_48500
48600,4860,0,TempExample_48600
48700,4870,0,TempExample_48700
48800,4880,0,TempExample_48800
48900,4890,0,TempExample_48900
49000,4900,0,TempExample_49000
49100,4910,0,TempExample_49100
49200,4920,0,TempExample_49200
49300,4930,0,TempExample_49300
49400,4940,0,TempExample_49400
49500,4950,0,TempExample_49500
49600,4960,0,TempExample_49600
49700,4970,0,TempExample_49700
49800,4980,0,TempExample_49800
49900,4990,0,TempExample_49900
50000,5000,0,TempExample_50000
50100,5010,0,TempExample_50100
50200,5020,0,TempExample_50200
50300,5030,0,TempExample_50300
50400,5040,0,TempExample_50400
50500,5050,0,TempExample_50500
50600,5060,0,TempExample_50600
50700,5070,0,TempExample_50700
50800,5080,0,TempExample_50800
50900,5090,0,TempExample_50900
51000,5100,0,TempExample_51000
51100,5110,0,TempExample_51100
51200,5120,0,TempExample_51200
51300,5130,0,TempExample_51300
51400,5140,0,TempExample_51400
51500,5150,0,TempExample_51500
51600,5160,0,TempExample_51600
51700,5170,0,TempExample_51700
51800,5180,0,TempExample_51800
51900,5190,0,TempExample_51900
52000,5200,0,TempExample_52000
52100,5210,0,TempExample_52100
52200,5220,0,TempExample_52200
52300,5230,0,TempExample_52300
52400,5240,0,TempExample_52400
52500,5250,0,TempExample_52500
52600,5260,0,TempExample_52600
52700,5270,0,TempExample_52700
52800,5280,0,TempExample_52800
52900,5290,0,TempExample_52900
53000,5300,0,TempExample_53000
53100,5310,0,TempExample_53100
53200,5320,0,TempExample_53200
53300,5330,0,TempExample_53300
53400,5340,0,TempExample_53400
53500,5350,0,TempExample_53500
53600,5360,0,TempExample_53600
53700,5370,0,TempExample_53700
53800,5380,0,TempExample_53800
53900,5390,0,TempExample_53900
54000,5400,0,TempExample_54000
54100,5410,0,TempExample_54100
54200,5420,0,TempExample_54200
54300,5430,0,TempExample_54300
54400,5440,0,TempExample_54400
54500,5450,0,TempExample_54500
54600,5460,0,TempExample_54600
54700,5470,0,TempExample_54700
54800,5480,0,TempExample_54800
54900,5490,0,TempExample_54900
55000,5500,0,TempExample_55000
55100,5510,0,TempExample_55100
55200,5520,0,TempExample_55200
55300,5530,0,TempExample_55300
55400,5540,0,TempExample_55400
55500,5550,0,TempExample_55500
55600,5560,0,TempExample_55600
55700,5570,0,TempExample_55700
55800,5580,0,TempExample_55800
55900,5590,0,TempExample_55900
56000,5600,0,TempExample_56000
56100,5610,0,TempExample_56100
56200,5620,0,TempExample_56200
56300,5630,0,TempExample_56300
56400,5640,0,TempExample_56400
56500,5650,0,TempExample_56500
56600,5660,0,TempExample_56600
56700,5670,0,TempExample_56700
56800,5680,0,TempExample_56800
56900,5690,0,TempExample_56900
57000,5700,0,TempExample_57000
57100,5710,0,TempExample_57100
57200,5720,0,TempExample_57200
57300,5730,0,TempExample_57300
57400,5740,0,TempExample_57400
57500,5750,0,TempExample_57500
57600,5760,0,TempExample_57600
57700,5770,0,TempExample_57700
57800,5780,0,TempExample_57800
57900,5790,0,TempExample_57900
58000,5800,0,TempExample_58000
58100,5810,0,TempExample_58100
58200,5820,0,TempExample_58200
58300,5830,0,TempExample_58300
58400,5840,0,TempExample_58400
58500,5850,0,TempExample_58500
58600,5860,0,TempExample_58600
58700,5870,0,TempExample_58700
58800,5880,0,TempExample_58800
58900,5890,0,TempExample_58900
59000,5900,0,TempExample_59000
59100,5910,0,TempExample_59100
59200,5920,0,TempExample_59200
59300,5930,0,TempExample_59300
59400,5940,0,TempExample_59400
59500,5950,0,TempExample_59500
59600,5960,0,TempExample_59600
59700,5970,0,TempExample_59700
59800,5980,0,TempExample_59800
59900,5990,0,TempExample_59900
60000,6000,0,TempExample_60000
